"meth","lhs","op","rhs","est","se","2.5%","97.5%"
"unwt","FAMILY__2","~","RACE",0.0470109907482775,0.0547844451852288,-0.0616300810197992,0.155343300124024
"unwt","FAMILY__2","~~","FRIEND__2",0.112115475422124,0.0214112855109914,0.0697618334331804,0.15100088001578
"unwt","FRIEND__1","~~","LONELY__2",-0.00353261402386093,0.0167916518720525,-0.0349305972716626,0.0289160803634931
"unwt","FRIEND__1","~~","LONELY__2_x_FAMILY__2",0.0127200885481043,0.0148435999830057,-0.0153720728849643,0.0423354884825752
"unwt","FRIEND__1","~~","LONELY__2_x_FRIEND__2",-0.0226738283422521,0.023559287136185,-0.0720002256980335,0.0230806148962002
"unwt","FRIEND__2","~","AGE",0.0770022286027043,0.0692082540723332,-0.0583193259903883,0.210508091003315
"unwt","FRIEND__2","~","FAMILY__1",-0.110603519666373,0.0923671590940031,-0.287613213520467,0.0788565669089719
"unwt","FRIEND__2","~","FRIEND__1",-0.00751097015039809,0.053782878578526,-0.1118791478416,0.105571939189775
"unwt","FRIEND__2","~","GENDER",0.00110186855532594,0.0694291814656028,-0.143906802752349,0.136454730818559
"unwt","FRIEND__2","~","INCOME",0.154811454523611,0.0828609869798758,-0.00486690905452121,0.306819714782045
"unwt","FRIEND__2","~","LONELY__1",-0.0500201841772983,0.0689460533975758,-0.183458353600805,0.0790751808230315
"unwt","FRIEND__2","~","LONELY__1_x_FAMILY__1",0.0107625532378904,0.121958391950746,-0.223749851795814,0.252870190276377
"unwt","FRIEND__2","~","LONELY__1_x_FRIEND__1",-0.0264113149280671,0.0730086286223656,-0.17874838223765,0.106809175938633
"unwt","FRIEND__2","~","RACE",0.0852227063072123,0.0860452719552878,-0.0876970985870764,0.240482736512545
"unwt","FRIEND__3","~","AGE",-0.0569909686035272,0.0699210776746595,-0.197720004342428,0.0809455705906953
"unwt","FRIEND__3","~","FAMILY__1",-0.0795460942710106,0.0677604334883626,-0.212693280027099,0.0487817196775613
"unwt","FRIEND__3","~","FAMILY__2",-0.147698853404121,0.0966383795828705,-0.331974576456624,0.0553542159253083
"unwt","FRIEND__3","~","FRIEND__1",0.0296817782949375,0.0379684359824976,-0.0397275266819784,0.105614966493331
"unwt","FRIEND__3","~","FRIEND__2",0.0863819688481527,0.0537290602149445,-0.019946376144898,0.185122807465298
"unwt","FRIEND__3","~","GENDER",0.0473984470440717,0.0703889943163636,-0.0849970783755073,0.190591982473218
"unwt","FRIEND__3","~","INCOME",0.0785060570071414,0.0872287554518515,-0.098932551510007,0.256060270095657
"unwt","FRIEND__3","~","LONELY__1",-0.214072696383619,0.0751921697286846,-0.35546916857664,-0.065397119126229
"unwt","FRIEND__3","~","LONELY__2",-0.183177428679764,0.070852595664227,-0.315395245761081,-0.0439457863222531
"unwt","FRIEND__3","~","LONELY__2_x_FAMILY__2",0.19572329727523,0.131251399664651,-0.0735565562391284,0.436494112346784
"unwt","FRIEND__3","~","LONELY__2_x_FRIEND__2",-0.0611251783472918,0.08271362853435,-0.217469441648135,0.0988803214794095
"unwt","FRIEND__3","~","RACE",-0.169102771449574,0.0892289271108163,-0.34104471530382,0.0122816881051487
"unwt","GENDER","~~","AGE",0.0160641424881596,0.00924528653531317,-0.00198956864604519,0.0340079607701233
"unwt","GENDER","~~","FAMILY__1",0.0126735195531865,0.00999241247351823,-0.00705321720417955,0.0318554266221918
"unwt","GENDER","~~","FRIEND__1",0.00184277746385484,0.0172903408306984,-0.0321428660554972,0.0350228430965364
"unwt","GENDER","~~","INCOME",-0.00604455250525398,0.0076713117332786,-0.0213119940962672,0.0087326047547151
"unwt","GENDER","~~","LONELY__2",-0.00993581116611195,0.00899877309489739,-0.027810912993025,0.00750533421509055
"unwt","GENDER","~~","LONELY__2_x_FAMILY__2",-0.00175766951964766,0.00832489395179841,-0.0183159373841432,0.0156152565288511
"unwt","GENDER","~~","LONELY__2_x_FRIEND__2",-0.00668933453681187,0.0123757782544183,-0.0319274750322383,0.0179987229769376
"unwt","GENDER","~~","RACE",0.00695185926584807,0.00744337085288932,-0.00730979089163835,0.0217711733134166
"unwt","INCOME","~~","FAMILY__1",0.00710744849703606,0.00804090302274953,-0.00843454484972056,0.0231173172511958
"unwt","INCOME","~~","FRIEND__1",0.0138281393437801,0.0145730521286334,-0.0153200618180716,0.0421032582829621
"unwt","INCOME","~~","LONELY__2",-0.0169001481280781,0.00760204221683689,-0.0318453977800393,-0.00143965875283646
"unwt","INCOME","~~","LONELY__2_x_FAMILY__2",-0.00599647201633315,0.00688745858144708,-0.0194748547909687,0.00734257544236965
"unwt","INCOME","~~","LONELY__2_x_FRIEND__2",0.0226616318524229,0.0115186258962415,-0.00028067003129104,0.0442653957986014
"unwt","LONELY__1","~~","AGE",-0.0045418813870207,0.00899115980877362,-0.0213462186341914,0.012904878957435
"unwt","LONELY__1","~~","FAMILY__1",-0.02943310261479,0.00983723715950521,-0.0493454175151712,-0.0108119449069822
"unwt","LONELY__1","~~","FRIEND__1",0.0322623310831888,0.016802720994293,0.000254473699690398,0.0642649656595977
"unwt","LONELY__1","~~","GENDER",-0.00363100957039292,0.0092652300561692,-0.0216605674499688,0.0150079946381557
"unwt","LONELY__1","~~","INCOME",-0.0229340054652305,0.0077272854308388,-0.0375134803681275,-0.00734080687913202
